# WebDab output on Thu Jun 14 15:40:21 2018
# Format: ISO2;YEAR;SECTOR;POLLUTANT;UNIT;NUMBER/FLAG
BAS;2004;N14 G_Shipping;PM10;Gg;16.5573213744899
MED;2004;N14 G_Shipping;PM10;Gg;95.4225308683941
NOS;2004;N14 G_Shipping;PM10;Gg;40.3989103463747
ATL;2004;N14 G_Shipping;PM2.5;Gg;55.352778267499
BLS;2004;N14 G_Shipping;PM2.5;Gg;6.04035439696401
NOS;2004;N14 G_Shipping;PM2.5;Gg;37.8092760398136
MED;2004;N14 G_Shipping;PM2.5;Gg;89.3949435109211
BAS;2004;N14 G_Shipping;PM2.5;Gg;15.5619370950862
BAS;2004;N14 G_Shipping;PMcoarse;Gg;0.9953842794037
BLS;2004;N14 G_Shipping;PMcoarse;Gg;0.31986050266961
ATL;2004;N14 G_Shipping;PMcoarse;Gg;2.7993464809954
NOS;2004;N14 G_Shipping;PMcoarse;Gg;2.5896343065611
MED;2004;N14 G_Shipping;PMcoarse;Gg;6.02758735747301
NOS;2004;N14 G_Shipping;SOx;Gg;389.768456170261
BAS;2004;N14 G_Shipping;SOx;Gg;177.576847663217
BLS;2004;N14 G_Shipping;SOx;Gg;41.8020396838365
ATL;2004;N14 G_Shipping;SOx;Gg;420.606559673007
MED;2004;N14 G_Shipping;SOx;Gg;668.635771706981
BLS;2005;N14 G_Shipping;CO;Gg;8.95431152551187
BAS;2005;N14 G_Shipping;CO;Gg;24.988556128839
NOS;2005;N14 G_Shipping;CO;Gg;61.1091531689101
MED;2005;N14 G_Shipping;CO;Gg;119.418631688321
ATL;2005;N14 G_Shipping;CO;Gg;71.1919139881341
BLS;2005;N14 G_Shipping;NMVOC;Gg;0.976019956280794
ATL;2005;N14 G_Shipping;NMVOC;Gg;7.75991862470662
BAS;2005;N14 G_Shipping;NMVOC;Gg;2.72375261804345
NOS;2005;N14 G_Shipping;NMVOC;Gg;6.6608976954112
MED;2005;N14 G_Shipping;NMVOC;Gg;13.0166308540269
MED;2005;N14 G_Shipping;NOx;Gg;1457.0041687913
NOS;2005;N14 G_Shipping;NOx;Gg;788.519624020953
